id,type,address,number,postal_code,municipality,province,location,public,available,hours,concat_address,location_geo,coords,lat,lon,alt
4740.0,,Middelheimlaan,1.0,2020.0,Antwerpen,Antwerpen,Gebouw A - receptie,,,,"Middelheimlaan 1, Antwerpen, 2020, Belgique","G, 1, Middelheimlaan, Middelheim, Antwerpen, Vlaanderen, 2020, België / Belgique / Belgien","(51.1842377, 4.420983304494227, 0.0)",51.1842377,4.420983304494227,0.0
4766.0,,Hanzestedenplaats ,1.0,2000.0,Antwerpen,Antwerpen,glvl hoofdinkom achter balie,,,,"Hanzestedenplaats  1, Antwerpen, 2000, Belgique","Museum aan de Stroom, 1,3,5, Hanzestedenplaats, Nieuwstad-Cadix, Eilandje, Sint-Anna, Antwerpen, Vlaanderen, 2000, België / Belgique / Belgien","(51.22893535, 4.404732087612823, 0.0)",51.22893535,4.404732087612823,0.0
4769.0,,Sint-Lenaartseweg ,26.0,2320.0,Hoogstraten,Antwerpen,"midden vd hal,rechtse kant",,,,"Sint-Lenaartseweg  26, Antwerpen, 2320, Belgique","RKW Hyplast NV / Klerk's Plastic Recycling NV, 26, Sint-Lenaartseweg, Hoogstraten, Turnhout, Antwerpen, Vlaanderen, 2320, België / Belgique / Belgien","(51.389861550000006, 4.747894128312722, 0.0)",51.389861550000006,4.747894128312722,0.0
4821.0,,Technologielaan ,,2800.0,Mechelen,Antwerpen,in de hal,,,,"Technologielaan  , Antwerpen, 2800, Belgique","Technologielaan, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien","(51.0033257, 4.4692941, 0.0)",51.0033257,4.4692941,0.0
4824.0,,Bergense Steenweg ,61.0,2270.0,Herenthout,Antwerpen,aan inkom in een kast,,,,"Bergense Steenweg  61, Antwerpen, 2270, Belgique","Sportcomplex 't Kapelleke, 61, Bergense Steenweg, Herenthout, Turnhout, Antwerpen, Vlaanderen, 2270, België / Belgique / Belgien","(51.1485079, 4.767415258283261, 0.0)",51.1485079,4.767415258283261,0.0
4848.0,,Brielen ,9.0,2830.0,Willebroek,Antwerpen,"glvl burelen,inkomhal voor trap",,,,"Brielen  9, Antwerpen, 2830, Belgique","IDlogistics, 9, Brielen, Tisselt, Willebroek, Mechelen, Antwerpen, Vlaanderen, 2830, België / Belgique / Belgien","(51.0383444, 4.365124799830853, 0.0)",51.0383444,4.365124799830853,0.0
4865.0,,Noorderlaan ,147.0,2030.0,Antwerpen,Antwerpen,"Atlantic House-6°verd,recept",,,,"Noorderlaan  147, Antwerpen, 2030, Belgique","Atlantic House, 147, Noorderlaan, Antwerpen, Vlaanderen, 2030, België / Belgique / Belgien","(51.2640927, 4.399568322053218, 0.0)",51.2640927,4.399568322053218,0.0
4872.0,,Atletiekstraat ,1.0,2620.0,Hemiksem,Antwerpen,rechterzijde bij binnenkomen,,,,"Atletiekstraat  1, Antwerpen, 2620, Belgique","1, Atletiekstraat, Hemiksem, Antwerpen, Vlaanderen, 2620, België / Belgique / Belgien","(51.1351707, 4.342467351921423, 0.0)",51.1351707,4.342467351921423,0.0
4891.0,,Dreef ,38.0,2328.0,Meerle,Antwerpen,buitenkast,,,,"Dreef  38, Antwerpen, 2328, Belgique","Kapucijnenklooster, 38,40, Dreef, Meerle, Hoogstraten, Turnhout, Antwerpen, Vlaanderen, 2328, België / Belgique / Belgien","(51.4962179, 4.775943755423588, 0.0)",51.4962179,4.775943755423588,0.0
4892.0,,Hoogeind,74.0,2321.0,Meer,Antwerpen,Hbuitenkast,,,,"Hoogeind 74, Antwerpen, 2321, Belgique","74, Hoogeind, Meer, Hoogstraten, Turnhout, Antwerpen, Vlaanderen, 2321, België / Belgique / Belgien","(51.466211099999995, 4.735228016102328, 0.0)",51.466211099999995,4.735228016102328,0.0
4893.0,,Watertorenstraat ,35.0,2250.0,Olen,Antwerpen,"afd OFM,glvl, gang nr refter",,,,"Watertorenstraat  35, Antwerpen, 2250, Belgique","35, Watertorenstraat, Onze-Lieve-Vrouw-Olen, Olen, Turnhout, Antwerpen, Vlaanderen, 2250, België / Belgique / Belgien","(51.1779576, 4.8812797, 0.0)",51.1779576,4.8812797,0.0
4895.0,,Uilenbaan,120.0,2160.0,Wommelgem,Antwerpen,centrale gang magazijn,,,,"Uilenbaan 120, Antwerpen, 2160, Belgique","120, Uilenbaan, Beemdkant, Wommelgem, Antwerpen, Vlaanderen, 2160, België / Belgique / Belgien","(51.2129875, 4.5175391542401835, 0.0)",51.2129875,4.5175391542401835,0.0
4904.0,,Heemsdaalstraat e),1.0,2620.0,Hemiksem,Antwerpen,ingang receptie,,,,"Heemsdaalstraat e) 1, Antwerpen, 2620, Belgique","Heemsdaalstraat, Calding, Hemiksem, Antwerpen, Vlaanderen, 2620, België / Belgique / Belgien","(51.1482249, 4.337302, 0.0)",51.1482249,4.337302,0.0
4906.0,,Koning Leopoldlaan ,8.0,2830.0,Willebroek,Antwerpen,"werkplaats,lokaal rechts glvl",,,,"Koning Leopoldlaan  8, Antwerpen, 2830, Belgique","8, Koning Leopoldlaan, Breendonk, Puurs-Sint-Amands, Mechelen, Antwerpen, Vlaanderen, 2870, België / Belgique / Belgien","(51.0327404, 4.326917047607594, 0.0)",51.0327404,4.326917047607594,0.0
4907.0,,Koning Leopoldlaan ,8.0,2830.0,Willebroek,Antwerpen,"ingang hoofdgeb,links recept",,,,"Koning Leopoldlaan  8, Antwerpen, 2830, Belgique","8, Koning Leopoldlaan, Breendonk, Puurs-Sint-Amands, Mechelen, Antwerpen, Vlaanderen, 2870, België / Belgique / Belgien","(51.0327404, 4.326917047607594, 0.0)",51.0327404,4.326917047607594,0.0
4909.0,,Bist,41.0,2180.0,EkerenAntwerpen),Antwerpen,bar,,,,"Bist 41, Antwerpen, 2180, Belgique","41, Bist, Ekeren, Antwerpen, Vlaanderen, 2180, België / Belgique / Belgien","(51.284497900000005, 4.439098146920325, 0.0)",51.284497900000005,4.439098146920325,0.0
4912.0,,Atealaan ,27.0,2270.0,Herenthout,Antwerpen,hall accueil,,,,"Atealaan  27, Antwerpen, 2270, Belgique","Kusters Gassen Transport - Air Liquide, 27, Atealaan, Klein Gent, Noorderwijk, Herenthout, Turnhout, Antwerpen, Vlaanderen, 2270, België / Belgique / Belgien","(51.1574034, 4.7981796, 0.0)",51.1574034,4.7981796,0.0
4934.0,,Gravenstraat ,3.0,2480.0,Dessel,Antwerpen,aan hall ingang glvl van bezoekerscentrum Tabloo,,"maandag, dinsdag, donderdag, vrijdag",van 8 tot 16u,"Gravenstraat  3, Antwerpen, 2480, Belgique","3, Gravenstraat, Dessel, Turnhout, Antwerpen, Vlaanderen, 2480, België / Belgique / Belgien","(51.2310947, 5.0875324, 0.0)",51.2310947,5.0875324,0.0
4950.0,,Blarenberglaan ,3.0,2800.0,Mechelen,Antwerpen,"2de verd,rechts v receptie",,,,"Blarenberglaan  3, Antwerpen, 2800, Belgique","Ordina Belgium, 3B, Blarenberglaan, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien","(51.05181435, 4.45416229974324, 0.0)",51.05181435,4.45416229974324,0.0
4967.0,,Walemstraat,38.0,2570.0,Duffel,Antwerpen,"productiehal, kantoorruimte",,,,"Walemstraat 38, Antwerpen, 2570, Belgique","38, Walemstraat, Duffel, Mechelen, Antwerpen, Vlaanderen, 2570, België / Belgique / Belgien","(51.0842745, 4.4745945400038085, 0.0)",51.0842745,4.4745945400038085,0.0
4985.0,,Borrewaterstraat ,182.0,2170.0,Merksem,Antwerpen,inkomhal  food avenue ,,,,"Borrewaterstraat  182, Antwerpen, 2170, Belgique","182, Borrewaterstraat, Oud-Merksem, Merksem, Antwerpen, Vlaanderen, 2170, België / Belgique / Belgien","(51.237698949999995, 4.446215714008689, 0.0)",51.237698949999995,4.446215714008689,0.0
4986.0,,Boomsesteenweg,32.0,2630.0,Aartselaar,Antwerpen,"productieruimte,glvl",,,,"Boomsesteenweg 32, Antwerpen, 2630, Belgique","Baker & Baker, 32, Boomsesteenweg, Aartselaar, Antwerpen, Vlaanderen, 2630, België / Belgique / Belgien","(51.13045715, 4.374484834395737, 0.0)",51.13045715,4.374484834395737,0.0
4987.0,,A. van der Pluymstraat,1.0,2160.0,Wommelgem,Antwerpen,"efter, 1° verdieping",,,,"A. van der Pluymstraat 1, Antwerpen, 2160, Belgique",,,,,
